Gene,PMID,Evidence
CD8,27253407,"Moreover, the tumor protective effects of P2Et treatment were abolished in immunodeficient mice, and partially lost after CD4 and CD8 depletion, indicating that P2Et's anti-tumor activity is highly dependent on immune system and at least in part of T cells."
CDK1,11093765,"Huanglian, A chinese herbal extract, inhibits cell growth by suppressing the expression of cyclin B1 and inhibiting CDC2 kinase activity in human cancer cells."
CYP1A1,29097115,"Taken collectively, the data demonstrate that the metabolism of hydroxylated flavonoids by cytochrome P450 CYP1 enzymes, notably CYP1A1 and CYP1B1, can enhance their antiproliferative activity in breast cancer cells."
CYP1B1,29097115,"Taken collectively, the data demonstrate that the metabolism of hydroxylated flavonoids by cytochrome P450 CYP1 enzymes, notably CYP1A1 and CYP1B1, can enhance their antiproliferative activity in breast cancer cells."
CYP19,18462857,"Instead the phytochemical reduced the amount of ERK activated by estradiol, which could be the pathway responsible for Promoter I.1 transactivation and the induced CYP19 expression."
P-gp,19051210,These results suggest that compound 1 of Z. cassumunar can be developed as a potent chemo-sensitizing agent that reverses P-gp-mediated MDR in human cancer chemotherapy.
Caspase-3,21111586,"Taken together, our data provide the evidence that SC induces apoptosis depending on caspase-3 activation and overcomes the natural biological resistance to chemotherapy found in human prostate and breast cancer cells."
p53,22126498,"In addition, the apoptosis mediated by LE extract in the MCF-7 cells was associated with the increased expression of the tumor suppressor p53 and caspase-3."
BAX,22126498,"Additionally, the expression of a pro-apoptotic gene, bax, was increased, and the expression of an anti-apoptotic gene, bcl-2, was decreased by LE extract treatment, resulting in a shift in the Bax:Bcl-2 ratio to one that favored apoptosis."
BCL-2,22126498,"Additionally, the expression of a pro-apoptotic gene, bax, was increased, and the expression of an anti-apoptotic gene, bcl-2, was decreased by LE extract treatment, resulting in a shift in the Bax:Bcl-2 ratio to one that favored apoptosis."
Caspase-3,22126498,"The expression of a major apoptotic gene, caspase-3, was increased by LE extract treatment."
Caspase-3,22126498,"In light of the above results, we concluded that LE extract can induce the apoptosis of MCF-7 breast cancer cells via Bax-related caspase-3 activation."
H2AX,19576743,At 132 microg/ml (=4 mg/ml of the drug) this extract caused genotoxic stress indicated by substantial phosphorylation of the core histone H2AX (gamma-H2AX) followed by activation of caspase 3 and signature-type cleavage of PARP resulting in a 55% apoptosis rate after 48 hours of treatment.
BCL-2,33511882,Results showed that SH extract induces apoptosis by suppressing the protein expression of BCL-2 while the expression of pro-apoptotic proteins such as BAX and caspase nine were unchanged.
IL-6,33260615,"The results showed that the CV extract inhibited IL-6, IL-8, and MMP-9 production by the LPS-stimulated cells. This effect was accompanied by a decrease in TLR4 and p-IκB expression."
IL-8,33260615,"The results showed that the CV extract inhibited IL-6, IL-8, and MMP-9 production by the LPS-stimulated cells. This effect was accompanied by a decrease in TLR4 and p-IκB expression."
MMP-9,33260615,"The results showed that the CV extract inhibited IL-6, IL-8, and MMP-9 production by the LPS-stimulated cells. This effect was accompanied by a decrease in TLR4 and p-IκB expression."
TLR4,33260615,"The results showed that the CV extract inhibited IL-6, IL-8, and MMP-9 production by the LPS-stimulated cells. This effect was accompanied by a decrease in TLR4 and p-IκB expression."
p-IκB,33260615,"The results showed that the CV extract inhibited IL-6, IL-8, and MMP-9 production by the LPS-stimulated cells. This effect was accompanied by a decrease in TLR4 and p-IκB expression."
AMPK,29589262,"The treatment with both extracts also activated AMPK, but OB was much more efficient than OG in promoting this."
LIN28A,31595560,"Our study uncovers the role of the LIN28A/Let-7 in BrCSCs renewal, and more importantly, elucidated a novel mechanism by which Matrine induces breast cancer involution."
BCRP,20460823,"Extracts of soybean, Gymnema sylvestre, black cohosh and passion flower and rutin strongly inhibited BCRP-mediated transport of MTX at 1 mg/ml, while inhibition by chlorella, milk thistle and Siberian ginseng extracts was weak."
MRP2,26852865,"In conclusion, SR ingestion increased the systemic exposure and MRT of MTX via modulation on MRP2 and BCRP."
BCRP,26852865,"In conclusion, SR ingestion increased the systemic exposure and MRT of MTX via modulation on MRP2 and BCRP."
COX-1,15231456,"DSS and sinigrin were evaluated for their inhibitory effects on cyclooxygenase-1 (COX-1) and cyclooxygenase-2 (COX-2) enzymes, on lipid peroxidation, and on the proliferation of human colon (HCT-116), breast (MCF-7), lung (NCIH460), and central nervous system (CNS, SF-268) cancer cell lines."
COX-2,15231456,"DSS and sinigrin were evaluated for their inhibitory effects on cyclooxygenase-1 (COX-1) and cyclooxygenase-2 (COX-2) enzymes, on lipid peroxidation, and on the proliferation of human colon (HCT-116), breast (MCF-7), lung (NCIH460), and central nervous system (CNS, SF-268) cancer cell lines."
PKM2,31750963,"PRACTICAL APPLICATION: In this study, the extract from roots of Carpesium abrotanoides Linn. (PCA) was shown to have a noticeable anticancer effect against breast cancer in vitro, and PCA exerts the anticancer activity by regulating glucose metabolism and PKM2 expression."
PKM2,34136566,Mangifera indica Extracts as Novel PKM2 Inhibitors for Treatment of Triple Negative Breast Cancer.
PKM2,34136566,"Therefore, this study was carried out to identify PKM2 inhibitors from natural products for cancer treatment."
PKM2,34136566,"After the validation of enzymatic assay system, plant extract library was screened for the identification of inhibitors of PKM2 protein."
PKM2,34136566,"Out of 51 plant extracts screened, four extracts Mangifera indica (leaf, seed, and bark) and Bombex ceiba bark extracts were found to be inhibitors of PKM2."
PKM2,34136566,"In the current study, M. indica (leaf, seed, and bark) extracts were further evaluated dose dependently against PKM2."
PKM2,34136566,These extracts showed different degrees of concentration-dependent inhibition against PKM2 at 90-360 μg/ml concentrations.
PKM2,34136566,"Literature-based phytochemical analysis of M. indica was carried out, and M. indica-derived 94 compounds were docked against three binding sites of PKM2 for the identification of PKM2 inhibitors."
PKM2,34136566,The results of this study provide novel findings for possible mechanism of action of M. indica (bark and seed) extracts against TNBC via PKM2 inhibition suggesting that M. indica might be of therapeutic interest for the treatment of TNBC.
PKM2,30381614,"Molecular docking and enzyme assay revealed that PA is a competing activator of PKM2, and mimics the natural activator, fructose-1,6-bisphosphate."
PKM2,31343107,"Taken together, tetrameric transformation and nuclear translocation of PKM2 are essential for cancer metastasis, and β-elemene inhibited breast cancer metastasis via blocking aerobic glycolysis mediated by dimeric PKM2 transformation and nuclear translocation, being a promising anti-metastatic agent from natural compounds."
PPAR,21535682,"All fractions showed bioactivity in PPAR activation assays, but quantitative responses showed marked fruit-to-fruit variability, highlighting the need to bulk fruit prior to extraction for activity-guided fractionation of bioactive components."
PI,9381980,Quercetin and genistein are able to inhibit PI and PIP kinase activities and reduce IP3 concentration in vivo and in tissue culture systems.
PI,7674820,"Quercetin, a plant flavonoid, blocks signal transduction pathways by inhibiting 1-phosphatidylinositol 4-kinase (EC 2.7.1.67, PI kinase) and 1-phosphatidylinositol 4-phosphate 5-kinase (EC 2.7.1.68, PIP kinase), resulting in a reduction of inositol 1,4,5-trisphosphate (IP3) concentration which decreases the release of calcium from intracellular sources."
M1S9,33007803,"Chemopreventive values of the combined mixture of moringa leaves and seed residue (MOLSr) at different ratios (M1S9, M1S1 and M9S1) were investigated."
M1S1,33007803,"Chemopreventive values of the combined mixture of moringa leaves and seed residue (MOLSr) at different ratios (M1S9, M1S1 and M9S1) were investigated."
M9S1,33007803,"Chemopreventive values of the combined mixture of moringa leaves and seed residue (MOLSr) at different ratios (M1S9, M1S1 and M9S1) were investigated."
SOS1,33446575,"The natural compound, taxifolin, suppressed signaling transduction of SOS1 by blocking the interaction between SOS1 and Grb2, suggesting a potential utility of this compound as a therapeutic agent for AA patients with breast cancer."
VEGF,33007803,"Significant Decreased Expressions of CaN, VEGF, SLC39A6 and SFRP1 in MDA-MB-231 Xenograft Breast Tumor Mice Treated with Moringa oleifera Leaves and Seed Residue (MOLSr) Extracts."
VEGF,32672134,"The mRNA expression levels of VEGF, MMP2, MMP9, and uPA were reduced after TAH extracts intervention (P < 0.01). TAH extracts also decreased the protein expression of p-Her2, p-ERK1/2, VEGF, MMP2, MMP9, and uPA (P < 0.01)."
VEGF,19131542,Grape seed extract inhibits VEGF expression via reducing HIF-1alpha protein expression.
VEGF,34440504,"The P. undulata extract and isolates showed significant reduction in tumor weight, decreased both serum vascular endothelial growth factor B (VEGF-B) levels and vascular endothelial growth factor receptor 2 (VEGFR-2) expression significantly compared to the control EAC group, suggesting an antiangiogenic activity through the inhibition of VEGF signaling."
VEGF,16702307,"Inhibition of VEGF release by flavonoids, tocopherols, and lovastatin in these models of neoplastic cells suggests a novel mechanism for mammary cancer prevention."
VEGF,24962397,"Moreover, the evaluation of a great panel of cytokines expressed by MCF-7 and MDA-MB-231 cells showed that the levels of VEGF and nine pro-inflammatory cytokines (IL-2, IL-6, IL-12, IL-17, IP-10, MIP-1α, MIP-1β, MCP-1 and TNF-α) decreased in a dose dependent way with increasing amounts of the hydrophilic extracts of pomegranate (Punica granatum L.) seed oil (PSO), supporting the evidence of an anti-inflammatory effect."
VEGF,26312209,"Here, we tested the effects of luteolin (LU), a flavonoid commonly found in fruits and vegetables, on inhibiting progestin-dependent VEGF induction and angiogenesis in human breast cancer cells, inhibiting stem cell-like characteristics, as well as breast cancer cell xenograft tumor growth in vivo and expression of angiogenesis markers."
VEGF,26831282,"Additionally, western blotting showed decreased expression of MMP2, MMP9 and VEGF with the use of Huaier extract."
VEGF,19181503,"Herein, we investigated the effect of silibinin, a major constituent (flavanolignan) of the fruits of Silybum marianum, on 12-O-tetradecanoyl phorbol-13-acetate (TPA)-induced MMP-9 and VEGF expression in MCF-7 human breast cancer cells."
VEGF,19139005,"Taken together, this study indicates that GSE is a well-tolerated and inexpensive natural VEGF inhibitor and could potentially be useful in cancer prevention or treatment."
VEGF,33567767,"Herein, we report the discovery of the natural oleanolic acid scaffold as a novel chemotype for the development of selective ligands of VEGF i-motif."
IRF3,33749513,"In Vero cells, the ginger methanolic extract was least effective; whereas the lemon methanolic extract was more effective with 64 dilutions with IC50 51.42%. In MDA-MB-231 cells, the tomato and ginger methanolic, and grape water extracts were least effective, whereas lemon water extract was most effective with 32 dilutions with IC50 48.67%, by upregulating JAK1, JAK2, TYK2, IRF7 and IRF3 gene expressions of the JAK/STAT pathway."
IRF7,33749513,"In Vero cells, the ginger methanolic extract was least effective; whereas the lemon methanolic extract was more effective with 64 dilutions with IC50 51.42%. In MDA-MB-231 cells, the tomato and ginger methanolic, and grape water extracts were least effective, whereas lemon water extract was most effective with 32 dilutions with IC50 48.67%, by upregulating JAK1, JAK2, TYK2, IRF7 and IRF3 gene expressions of the JAK/STAT pathway."
JAK1,33749513,"In Vero cells, the ginger methanolic extract was least effective; whereas the lemon methanolic extract was more effective with 64 dilutions with IC50 51.42%. In MDA-MB-231 cells, the tomato and ginger methanolic, and grape water extracts were least effective, whereas lemon water extract was most effective with 32 dilutions with IC50 48.67%, by upregulating JAK1, JAK2, TYK2, IRF7 and IRF3 gene expressions of the JAK/STAT pathway."
JAK2,33749513,"In Vero cells, the ginger methanolic extract was least effective; whereas the lemon methanolic extract was more effective with 64 dilutions with IC50 51.42%. In MDA-MB-231 cells, the tomato and ginger methanolic, and grape water extracts were least effective, whereas lemon water extract was most effective with 32 dilutions with IC50 48.67%, by upregulating JAK1, JAK2, TYK2, IRF7 and IRF3 gene expressions of the JAK/STAT pathway."
TYK2,33749513,"In Vero cells, the ginger methanolic extract was least effective; whereas the lemon methanolic extract was more effective with 64 dilutions with IC50 51.42%. In MDA-MB-231 cells, the tomato and ginger methanolic, and grape water extracts were least effective, whereas lemon water extract was most effective with 32 dilutions with IC50 48.67%, by upregulating JAK1, JAK2, TYK2, IRF7 and IRF3 gene expressions of the JAK/STAT pathway."
PPARG,33880358,"Bioinformatics and In Vitro Studies Reveal the Importance of p53, PPARG and Notch Signaling Pathway in Inhibition of Breast Cancer Stem Cells by Hesperetin."
5-LOX,33923148,"Polyphenolic Profile of Callistemon viminalis Aerial Parts: Antioxidant, Anticancer and In Silico 5-LOX Inhibitory Evaluations."
DCLK1,33924995,"Furthermore, the compound suppressed expression of cancer stem cell marker proteins DCLK1, ALDH1, and CD133."
ALDH1,33924995,"Furthermore, the compound suppressed expression of cancer stem cell marker proteins DCLK1, ALDH1, and CD133."
BAK,33987910,"KRG extract increased the expression of pro-apoptotic proteins BAX, BAK, and BAD and decreased the expression of anti-apoptotic proteins Bcl-2 and Bcl-XL in both cells."
BAD,33987910,"KRG extract increased the expression of pro-apoptotic proteins BAX, BAK, and BAD and decreased the expression of anti-apoptotic proteins Bcl-2 and Bcl-XL in both cells."
BAX,33987910,"KRG extract increased the expression of pro-apoptotic proteins BAX, BAK, and BAD and decreased the expression of anti-apoptotic proteins Bcl-2 and Bcl-XL in both cells."
Bcl-XL,33987910,"KRG extract increased the expression of pro-apoptotic proteins BAX, BAK, and BAD and decreased the expression of anti-apoptotic proteins Bcl-2 and Bcl-XL in both cells."
Bcl-2,33987910,"KRG extract increased the expression of pro-apoptotic proteins BAX, BAK, and BAD and decreased the expression of anti-apoptotic proteins Bcl-2 and Bcl-XL in both cells."
Proliferating cell nuclear antigen,34000264,"Therefore, we have evaluated the combined anti-cancerous effect of PTX with tested natural compounds (andrographolide (AND), silibinin (SIL), mimosine (MIM) and trans-anethole (TA)) using 3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide (MTT) assay, trypan blue dye exclusion assay, proliferating cell nuclear antigen (PCNA) staining, network pharmacology, molecular docking, molecular dynamics (MD) and in vivo chick chorioallantoic membrane (CAM) angiogenesis assay."
Bax,34086162,"Dichloromethane fraction of Moringa oleifera leaf methanolic extract selectively inhibits breast cancer cells (MCF7) by induction of apoptosis via upregulation of Bax, p53 and caspase 8 expressions."
Caspase 8,34086162,"Dichloromethane fraction of Moringa oleifera leaf methanolic extract selectively inhibits breast cancer cells (MCF7) by induction of apoptosis via upregulation of Bax, p53 and caspase 8 expressions."
p53,34086162,"Dichloromethane fraction of Moringa oleifera leaf methanolic extract selectively inhibits breast cancer cells (MCF7) by induction of apoptosis via upregulation of Bax, p53 and caspase 8 expressions."
CO2,34211628,"Two raspberry oils: cold pressed (ROCOP) and one extracted by supercritical CO2 (ROSCO2) were evaluated for their chemical characteristics and oil emulsions for cell suppression potential against colon adenocarcinoma (LoVo), doxorubicin-resistant colon adenocarcinoma (LoVo/DX), breast cancer (MCF7), doxorubicin-resistant breast cancer (MCF7/DX), and lung cancer (A549) cell lines."
MAP4,34264566,The combination therapy of targeting both paclitaxel and Dendrophthoe pentandra leaves extract nanoparticles for improvement breast cancer treatment efficacy by reducing TUBB3 and MAP4 expressions.
TUBB3,34264566,The combination therapy of targeting both paclitaxel and Dendrophthoe pentandra leaves extract nanoparticles for improvement breast cancer treatment efficacy by reducing TUBB3 and MAP4 expressions.
CYP2J2,34402291,"To explore the effect of ophiopogonin D on main fatty acid metabolic enzymes in human cardiomyocyte AC-16,so as to provide reference for cardiovascular protection mechanism and safe clinical application of Ophiopogon japonicus.CCK-8 (cell counting kit-8) was used to detect the effect of different concentrations of ophiopogonin D on the viability of cardiomyocytes.Meanwhile,the effect of different concentrations of ophiopogonin D on the morphology and quantity of cardiomyocytes was observed under microscope.The effect of ophiopogonin D on the mRNA expression of CYP2J2,CYP4F3,CYP4A11,CYP4A22 and CYP4F2 in cardiomyocytes was detected by RT-PCR.Western blot was used to detect the protein expression of CYP4F3 in different concentrations of ophiopogonin D.Compared with the control group,low-concentration ophiopogonin D had no effect on the viability of cardiomyocytes.However,ophiopogonin D with a concentration of higher than 20Î¼molÂ·L~(-1)could promote the viability.Under the microscope,ophiopogonin D with a concentration of below 100Î¼molÂ·L~(-1)had no significant effect on the morphology and number of cardiomyocytes.RT-PCR results showed that compared with the control group,5Î¼molÂ·L~(-1)ophiopogonin D could slightly up-regulate mRNA expressions of CYP2J2 and CYP4F3,while high-concentration ophiopogonin D (10 and 20Î¼molÂ·L~(-1)) could significantly induce mRNA expressions of CYP2J2and CYP4F3 in a dose-dependent manner (P&lt;0.05).The same concentration of ophiopogonin D had a little effect on the mRNA expressions of CYP4A11,CYP4A22 and CYP4F2.Western blot results showed that 20Î¼molÂ·L~(-1)ophiopogonin D could significantly induce the protein expression of CYP4F3 in a dose-dependent manner (P&lt;0.05).Based on the above results,ophiopogonin D (less than100Î¼molÂ·L~(-1)) has no effect on the viability of AC-16 cardiomyocytes.Ophiopogonin D (less than 100Î¼molÂ·L~(-1)) can selectively induce the expressions of CYP2J2 and CYP4F3,regulate the metabolic pathway of fatty acid signaling molecules,and thus protecting the cardiovascular system."
CYP4A11,34402291,"To explore the effect of ophiopogonin D on main fatty acid metabolic enzymes in human cardiomyocyte AC-16,so as to provide reference for cardiovascular protection mechanism and safe clinical application of Ophiopogon japonicus.CCK-8 (cell counting kit-8) was used to detect the effect of different concentrations of ophiopogonin D on the viability of cardiomyocytes.Meanwhile,the effect of different concentrations of ophiopogonin D on the morphology and quantity of cardiomyocytes was observed under microscope.The effect of ophiopogonin D on the mRNA expression of CYP2J2,CYP4F3,CYP4A11,CYP4A22 and CYP4F2 in cardiomyocytes was detected by RT-PCR.Western blot was used to detect the protein expression of CYP4F3 in different concentrations of ophiopogonin D.Compared with the control group,low-concentration ophiopogonin D had no effect on the viability of cardiomyocytes.However,ophiopogonin D with a concentration of higher than 20Î¼molÂ·L~(-1)could promote the viability.Under the microscope,ophiopogonin D with a concentration of below 100Î¼molÂ·L~(-1)had no significant effect on the morphology and number of cardiomyocytes.RT-PCR results showed that compared with the control group,5Î¼molÂ·L~(-1)ophiopogonin D could slightly up-regulate mRNA expressions of CYP2J2 and CYP4F3,while high-concentration ophiopogonin D (10 and 20Î¼molÂ·L~(-1)) could significantly induce mRNA expressions of CYP2J2and CYP4F3 in a dose-dependent manner (P&lt;0.05).The same concentration of ophiopogonin D had a little effect on the mRNA expressions of CYP4A11,CYP4A22 and CYP4F2.Western blot results showed that 20Î¼molÂ·L~(-1)ophiopogonin D could significantly induce the protein expression of CYP4F3 in a dose-dependent manner (P&lt;0.05).Based on the above results,ophiopogonin D (less than100Î¼molÂ·L~(-1)) has no effect on the viability of AC-16 cardiomyocytes.Ophiopogonin D (less than 100Î¼molÂ·L~(-1)) can selectively induce the expressions of CYP2J2 and CYP4F3,regulate the metabolic pathway of fatty acid signaling molecules,and thus protecting the cardiovascular system."
CYP4F2,34402291,"To explore the effect of ophiopogonin D on main fatty acid metabolic enzymes in human cardiomyocyte AC-16,so as to provide reference for cardiovascular protection mechanism and safe clinical application of Ophiopogon japonicus.CCK-8 (cell counting kit-8) was used to detect the effect of different concentrations of ophiopogonin D on the viability of cardiomyocytes.Meanwhile,the effect of different concentrations of ophiopogonin D on the morphology and quantity of cardiomyocytes was observed under microscope.The effect of ophiopogonin D on the mRNA expression of CYP2J2,CYP4F3,CYP4A11,CYP4A22 and CYP4F2 in cardiomyocytes was detected by RT-PCR.Western blot was used to detect the protein expression of CYP4F3 in different concentrations of ophiopogonin D.Compared with the control group,low-concentration ophiopogonin D had no effect on the viability of cardiomyocytes.However,ophiopogonin D with a concentration of higher than 20Î¼molÂ·L~(-1)could promote the viability.Under the microscope,ophiopogonin D with a concentration of below 100Î¼molÂ·L~(-1)had no significant effect on the morphology and number of cardiomyocytes.RT-PCR results showed that compared with the control group,5Î¼molÂ·L~(-1)ophiopogonin D could slightly up-regulate mRNA expressions of CYP2J2 and CYP4F3,while high-concentration ophiopogonin D (10 and 20Î¼molÂ·L~(-1)) could significantly induce mRNA expressions of CYP2J2and CYP4F3 in a dose-dependent manner (P&lt;0.05).The same concentration of ophiopogonin D had a little effect on the mRNA expressions of CYP4A11,CYP4A22 and CYP4F2.Western blot results showed that 20Î¼molÂ·L~(-1)ophiopogonin D could significantly induce the protein expression of CYP4F3 in a dose-dependent manner (P&lt;0.05).Based on the above results,ophiopogonin D (less than100Î¼molÂ·L~(-1)) has no effect on the viability of AC-16 cardiomyocytes.Ophiopogonin D (less than 100Î¼molÂ·L~(-1)) can selectively induce the expressions of CYP2J2 and CYP4F3,regulate the metabolic pathway of fatty acid signaling molecules,and thus protecting the cardiovascular system."
CYP4F3,34402291,"To explore the effect of ophiopogonin D on main fatty acid metabolic enzymes in human cardiomyocyte AC-16,so as to provide reference for cardiovascular protection mechanism and safe clinical application of Ophiopogon japonicus.CCK-8 (cell counting kit-8) was used to detect the effect of different concentrations of ophiopogonin D on the viability of cardiomyocytes.Meanwhile,the effect of different concentrations of ophiopogonin D on the morphology and quantity of cardiomyocytes was observed under microscope.The effect of ophiopogonin D on the mRNA expression of CYP2J2,CYP4F3,CYP4A11,CYP4A22 and CYP4F2 in cardiomyocytes was detected by RT-PCR.Western blot was used to detect the protein expression of CYP4F3 in different concentrations of ophiopogonin D.Compared with the control group,low-concentration ophiopogonin D had no effect on the viability of cardiomyocytes.However,ophiopogonin D with a concentration of higher than 20Î¼molÂ·L~(-1)could promote the viability.Under the microscope,ophiopogonin D with a concentration of below 100Î¼molÂ·L~(-1)had no significant effect on the morphology and number of cardiomyocytes.RT-PCR results showed that compared with the control group,5Î¼molÂ·L~(-1)ophiopogonin D could slightly up-regulate mRNA expressions of CYP2J2 and CYP4F3,while high-concentration ophiopogonin D (10 and 20Î¼molÂ·L~(-1)) could significantly induce mRNA expressions of CYP2J2and CYP4F3 in a dose-dependent manner (P&lt;0.05).The same concentration of ophiopogonin D had a little effect on the mRNA expressions of CYP4A11,CYP4A22 and CYP4F2.Western blot results showed that 20Î¼molÂ·L~(-1)ophiopogonin D could significantly induce the protein expression of CYP4F3 in a dose-dependent manner (P&lt;0.05).Based on the above results,ophiopogonin D (less than100Î¼molÂ·L~(-1)) has no effect on the viability of AC-16 cardiomyocytes.Ophiopogonin D (less than 100Î¼molÂ·L~(-1)) can selectively induce the expressions of CYP2J2 and CYP4F3,regulate the metabolic pathway of fatty acid signaling molecules,and thus protecting the cardiovascular system."
VEGFR-2,34440504,"The P. undulata extract and isolates showed significant reduction in tumor weight, decreased both serum vascular endothelial growth factor B (VEGF-B) levels and vascular endothelial growth factor receptor 2 (VEGFR-2) expression significantly compared to the control EAC group, suggesting an antiangiogenic activity through the inhibition of VEGF signaling."
Vascular endothelial growth factor B,34440504,"The P. undulata extract and isolates showed significant reduction in tumor weight, decreased both serum vascular endothelial growth factor B (VEGF-B) levels and vascular endothelial growth factor receptor 2 (VEGFR-2) expression significantly compared to the control EAC group, suggesting an antiangiogenic activity through the inhibition of VEGF signaling."
CD44,34451892,"Importantly, ampelopsin displayed an inhibitory impact on the stemness features of MDA-MB-231/IR cells, demonstrated by decreases in mammosphere formation, the CD44+/CD24-/low population, aldehyde dehydrogenase activity, and the levels of stem cell markers (e.g., CD44, MRP1, Î²-catenin, and KLF4)."
MRP1,34451892,"Importantly, ampelopsin displayed an inhibitory impact on the stemness features of MDA-MB-231/IR cells, demonstrated by decreases in mammosphere formation, the CD44+/CD24-/low population, aldehyde dehydrogenase activity, and the levels of stem cell markers (e.g., CD44, MRP1, Î²-catenin, and KLF4)."
STAT3,34472799,"Naturally occurring Girinimbine alkaloid inhibits the proliferation, migration, and invasion of human breast cancer cells via induction of apoptosis and inhibition of MEK/ERK and STAT3 signalling pathways."
Stearoyl-CoA desaturase,34486791,"Here, by using the inâ€‰vitro BCSC models, mammosphere-derived MCF-7 cells and HMLE-Twist-ER cells, we found that the cells with stem cell-like properties exhibited a very distinct profile of fatty acid metabolism compared with that of their parental cancer cells, characterized by increased lipogenesis, especially the activity of stearoyl-CoA desaturase 1 (SCD1) responsible for the production of monounsaturated fatty acids, and augmented synthesis and utilization of the omega-6 arachidonic acid (AA)."
GOLM1,34536514,This is the first report to study the relationship between GOLM1 downregulation and natural anti-tumoral plant substances and the possible mechanism.
GOLM1,34536514,"Among three tested possible migration-inhibiting natural substances (Epigallocatechin gallate (EGCG), Betulinic acid (BA) and Lupeol), EGCG showed the most potent inhibition effect on GOLM1 expression and MDA-MB-231Â cell migration."
GOLM1,34536514,"In all, EGCG is the first identified GOLM1 downregulation natural product."
EMT,34592340,"Moreover, curcumin down-regulated the expression of genes related Hh pathway, EMT and stemness in MDA-MB-231 mammospheres."
Caspase 3,34634366,Western blot indicated that QA root extract induced mitochondria-mediated apoptosis by up-regulating caspase 3 and down-regulating Bcl-W.
PCNA,34665399,The percentages of apoptosis cells in CV-Dcm-treated MCF7 cells was 58.8%. The CV-Dcm extract induced downregulation of PCNA level.
ABCG2,34770867,"Herein, luteolin, a flavonoid found in Taraxacum&nbsp;officinale extract, was determined to inhibit the expressions of stemness-related transcriptional factors, the ATP-binding cassette transporter G2 (ABCG2), CD44, aldehyde dehydrogenase 1 activity as well as the sphere formation properties of breast CSCs."
CD44,34770867,"Herein, luteolin, a flavonoid found in Taraxacum&nbsp;officinale extract, was determined to inhibit the expressions of stemness-related transcriptional factors, the ATP-binding cassette transporter G2 (ABCG2), CD44, aldehyde dehydrogenase 1 activity as well as the sphere formation properties of breast CSCs."
TLR4,34844644,"CONCLUSION: Taken together, our data showed verbascoside is a safe natural compound for normal cells while has apoptosis-inducing feature through TLR4 axis on 4â€‰T1 cells. Â© 2021."
p21,34920321,The phytochemical brazilin suppress DNMT1 expression by recruiting p53 to its promoter resulting in the epigenetic restoration of p21 in MCF7cells.
DNMT1,34920321,The phytochemical brazilin suppress DNMT1 expression by recruiting p53 to its promoter resulting in the epigenetic restoration of p21 in MCF7cells.
